,country,2014,2015,2016,2017,2018,2019,iso3
0,Afghanistan,0,48,48,60,64,44,AFG
1,Albania,0,17,34,76,109,86,ALB
2,Algeria,24,30,38,41,130,134,DZA
3,Andorra,0,4,12,6,15,7,AND
4,Angola,0,6,10,9,11,5,AGO
5,Antigua and Barbuda,0,0,0,3,9,9,ATG
6,Argentina,40,156,362,255,611,553,ARG
7,Armenia,13,84,35,51,117,86,ARM
8,Australia,182,618,1117,913,2018,1903,AUS
9,Austria,66,300,482,477,788,839,AUT
10,Azerbaijan,0,7,29,0,78,49,AZE
11,Bahamas,0,2,7,1,6,3,BHS
12,Bahrain,0,9,11,12,16,18,BHR
13,Bangladesh,28,50,166,184,697,605,BGD
14,Barbados,0,3,3,3,4,3,BRB
15,Belarus,20,70,164,91,339,202,BLR
16,Belgium,62,263,543,404,743,727,BEL
17,Belize,0,0,2,4,1,3,BLZ
18,Benin,0,1,2,2,10,5,BEN
19,Bhutan,0,2,2,2,6,2,BTN
20,Bolivia,5,7,15,23,44,36,BOL
21,Bosnia and Herzegovina,6,0,0,0,125,108,BIH
22,Botswana,0,1,4,7,4,5,BWA
23,Brazil,96,367,1015,777,2505,1948,BRA
24,Brunei Darussalam,0,0,0,7,1,1,BRN
25,Bulgaria,42,103,246,258,425,659,BGR
26,Burkina Faso,0,0,0,1,5,4,BFA
27,Burundi,0,0,1,2,1,3,BDI
28,Cambodia,2,17,15,19,60,30,KHM
29,Cameroon,0,4,7,12,34,51,CMR
30,Canada,306,828,2024,2233,3393,3395,CAN
31,Cape Verde,0,0,0,1,3,3,CPV
32,Chad,0,0,1,1,0,1,TCD
33,Chile,13,52,104,111,238,206,CHL
34,China,54,252,321,239,1037,664,CHN
35,Colombia,19,41,91,149,339,313,COL
36,"Congo, Republic of the...",0,0,0,0,6,7,COG
37,Costa Rica,3,23,32,54,98,84,CRI
38,Croatia,20,68,148,172,241,260,HRV
39,Cuba,0,6,24,33,65,30,CUB
40,Cyprus,3,16,30,28,49,64,CYP
41,Czech Republic,46,243,372,411,784,764,CZE
42,C̫te d'Ivoire,0,0,0,0,7,34,CIV
43,Democratic People's Republic of Korea,0,0,0,0,2,3,PRK
44,Democratic Republic of the Congo,0,0,0,0,7,7,COD
45,Denmark,56,278,606,300,653,617,DNK
46,Djibouti,0,1,3,1,1,2,DJI
47,Dominica,0,0,1,0,2,1,DMA
48,Dominican Republic,8,9,82,65,115,97,DOM
49,Ecuador,4,7,27,36,65,82,ECU
50,Egypt,25,71,123,134,419,323,EGY
51,El Salvador,2,5,11,21,46,67,SLV
52,Estonia,18,51,87,90,189,195,EST
53,Ethiopia,0,7,11,37,60,52,ETH
54,Fiji,0,0,5,3,8,5,FJI
55,Finland,47,242,440,287,521,546,FIN
56,France,198,776,1626,1740,2572,2391,FRA
57,Gabon,0,3,1,1,5,2,GAB
58,Georgia,7,27,46,46,75,80,GEO
59,Germany,455,1976,3883,4143,6459,5866,DEU
60,Ghana,2,4,25,53,76,84,GHA
61,Greece,48,152,393,298,516,556,GRC
62,Guatemala,2,12,21,38,50,67,GTM
63,Guinea,0,0,1,1,3,3,GIN
64,Guyana,0,0,4,4,2,3,GUY
65,Haiti,0,2,5,4,8,5,HTI
66,Honduras,0,10,8,11,25,27,HND
67,Hong Kong (S.A.R.),0,0,0,0,219,188,HKG
68,Hungary,38,169,233,332,470,513,HUN
69,Iceland,5,16,26,33,45,49,ISL
